UnitID, DeviceID, Radius, WeaponRange, CanAttackGround, CanAttackAir, IsFlying
4,0,0,7,1,0,0
7,1,0,6,0,0,0
8,2,0,0,1,1,0
9,3,0,0,1,1,0
10,4,0,7,1,1,0
12,5,0,0,1,1,0
13,6,0,0,1,0,0
14,7,0,5,1,1,0
15,8,0,5,1,1,0
16,9,0,0,1,0,0
17,10,0,0,1,0,0
23,11,0,7,0,1,0
31,12,0,6,1,1,0
32,13,0,13,1,0,0
33,14,0,7,1,0,0
34,15,0,6,1,0,0
35,16,0,9,0,1,0
45,17,0,0,1,0,0
48,18,0,5,1,1,0
49,19,0,5,1,0,0
50,20,0,6,1,1,0
51,21,0,6,1,0,0
52,22,0,10,0,0,0
53,23,0,5,1,0,0
54,24,0,0,1,1,0
55,25,0,6,1,0,0
56,26,0,0,1,1,0
57,27,0,0,1,1,0
58,28,0,0,1,1,0
66,29,0,7,1,1,0
73,30,0,0,1,0,0
74,31,0,6,1,1,0
75,32,0,6,1,0,0
76,33,0,0,1,0,0
77,34,0,5,1,1,0
78,35,0,5,0,1,0
79,36,0,0,1,1,0
80,37,0,6,1,1,0
81,38,0,0,1,1,0
82,39,0,0,1,1,0
83,40,0,6,1,0,0
84,41,0,0,1,0,0
85,42,0,2,1,1,0
98,43,0,7,1,0,0
99,44,0,7,0,1,0
103,45,0,0,1,1,0
104,46,0,0,1,0,0
105,47,0,0,1,0,0
106,48,0,0,1,1,0
107,49,0,5,1,1,0
108,50,0,3,1,1,0
109,51,0,1,1,0,0
110,52,0,4,1,0,0
111,53,0,0,1,1,0
112,54,0,6,0,1,0
113,55,0,0,1,1,0
114,56,0,10,1,0,0
115,57,0,0,1,1,0
116,58,0,0,1,1,0
117,59,0,0,1,1,0
118,60,0,0,1,1,0
119,61,0,0,1,1,0
125,62,0,0,1,1,0
126,63,0,8,0,0,0
127,64,0,0,1,1,0
128,65,0,0,1,1,0
129,66,0,0,1,1,0
130,67,0,6,1,0,0
136,68,0,0,1,1,0
141,69,0,3,1,1,0
150,70,0,0,1,1,0
151,71,0,0,1,1,0
268,72,0,0,1,1,0
289,73,0,0,1,0,0
311,74,0,4,1,0,0
484,75,0,2,1,0,0
488,76,0,5,1,0,0
489,77,0,3,1,0,0
493,78,0,0,1,1,0
494,79,0,0,1,1,0
495,80,0,0,1,1,0
496,81,0,15,0,0,0
498,82,0,0,1,1,0
499,83,0,0,1,1,0
500,84,0,0,1,1,0
501,85,0,0,1,1,0
502,86,0,0,1,1,0
503,87,0,9,1,0,0
687,88,0,0,1,1,0
688,89,0,6,1,0,0
689,90,0,5,0,1,0
691,91,0,11,0,0,0
692,92,0,5,1,1,0
693,93,0,0,1,1,0
694,94,0,0,1,1,0
733,95,0,0,1,1,0
734,96,0,10,1,0,0
801,97,0,0,1,1,0
824,98,0,0,1,1,0
892,99,0,0,1,1,0
893,100,0,0,1,1,0
